Date,Close,High,Low,Open,Volume,Log_Return,Simple_Return,Log_Return_pct
2023-09-07,19727.05078125,19737.0,19550.05078125,19598.650390625,304900,0.005897607236551244,0.005915032360780392,0.5897607236551244
2023-09-08,19819.94921875,19867.150390625,19727.05078125,19774.80078125,288100,0.004698136818212182,0.004709190366575022,0.46981368182121824
2023-09-11,19996.349609375,20008.150390625,19865.349609375,19890.0,248800,0.008860770587058942,0.008900143420050854,0.8860770587058941
2023-09-12,19993.19921875,20110.349609375,19914.650390625,20110.150390625,328100,-0.00015756069892455075,-0.0001575482868895195,-0.015756069892455076
2023-09-13,20070.0,20096.900390625,19944.099609375,19989.5,251400,0.003833986143147051,0.003841345269944396,0.38339861431470507
2023-09-14,20103.099609375,20167.650390625,20043.44921875,20127.94921875,275100,0.0016478497893743786,0.001649208239910216,0.16478497893743788
2023-09-15,20192.349609375,20222.44921875,20129.69921875,20156.44921875,438200,0.004429787863222843,0.004439613877174287,0.4429787863222843
2023-09-18,20133.30078125,20195.349609375,20115.69921875,20155.94921875,264900,-0.0029286010148227575,-0.002924316846098174,-0.29286010148227576
2023-09-20,19901.400390625,20050.650390625,19878.849609375,19980.75,378100,-0.011585098803333688,-0.011518249945432046,-1.1585098803333689
2023-09-21,19742.349609375,19848.75,19709.94921875,19840.55078125,275100,-0.00802404589005525,-0.007991939166498319,-0.802404589005525
2023-09-22,19674.25,19798.650390625,19657.5,19744.849609375,246400,-0.0034553806166447805,-0.003449417659114995,-0.34553806166447804
2023-09-25,19674.55078125,19734.150390625,19601.55078125,19678.19921875,188400,1.5287950028248088e-05,1.5288066889551644e-05,0.0015287950028248089
2023-09-26,19664.69921875,19699.349609375,19637.44921875,19682.80078125,204900,-0.0005008515772894238,-0.0005007261720755274,-0.050085157728942384
2023-09-27,19716.44921875,19730.69921875,19554.0,19637.05078125,203600,0.002628162551917123,0.002631619198663282,0.2628162551917123
2023-09-28,19523.55078125,19766.650390625,19492.099609375,19761.80078125,352800,-0.009831803841213342,-0.009783629666773708,-0.9831803841213342
2023-09-29,19638.30078125,19726.25,19551.05078125,19581.19921875,243500,0.005860311697675281,0.005877516917168757,0.5860311697675281
2023-10-03,19528.75,19623.19921875,19479.650390625,19622.400390625,221700,-0.005594042173129665,-0.005578424654468894,-0.5594042173129665
2023-10-04,19436.099609375,19457.80078125,19333.599609375,19446.30078125,277100,-0.004755597219883326,-0.004744307271330683,-0.47555972198833263
2023-10-05,19545.75,19576.94921875,19487.30078125,19521.849609375,234900,0.005625729970019748,0.005641584105285702,0.5625729970019748
